286,PHIBCINKINVER5X5_1,Cinta Kinesiológica Verde 5cm x 5cm Caja x 1 Unidad,si,cinta-kinesiolgica-verde-5cm-x-5cm-caja-x-1-unidad
287,PHIBCOPCOLHEC30CCx__1,Copa Colectora Muestras Heces 30cc x 1 Unidad,si,copa-colectora-muestras-heces-30cc-x-1-unidad
288,PHIBCOPCOLORI120CCx__1,Copa Colectora Muestras Orina 120cc x 1 Unidad,si,copa-colectora-muestras-orina-120cc-x-1-unidad
289,PHIBELEADU,Electrodo Adulto,si,electrodo-adulto
290,PHIBELEPED,Electrodo Pediátrico,si,electrodo-peditrico
291,PHIBEQUVEN150CCx__1,Equipo de Venóclisis 150cc x 1 Unidad,si,equipo-de-venclisis-150cc-x-1-unidad
293,PHIBEQUVENMIC150CCx__1,Equipo de Venóclisis con Microgotero 150cc x 1 Unidad,si,equipo-de-venclisis-con-microgotero-150cc-x-1-unidad
295,PHIBESPALGDIS10CX4.5__1,Esparadrapo 100% algodón Con Dispensador (oxido de zinc) 10 cm x 4.5mts x 1 Unidad,si,esparadrapo-100porciento-algodn-con-dispensador-oxido-de-zinc-10-cm-x-45mts-x-1-unidad
296,PHIBESPVAGDESMX__1,Espéculo Vaginal Desechable M x 1 Unidad,si,espculo-vaginal-desechable-m-x-1-unidad
297,PHIBGAS10x10,Compresa de Gasa NO TEJIDA 10 cm. x 10 cm. caja x 40 unid,si,compresa-de-gasa-no-tejida-10-cm-x-10-cm-caja-x-40-unid
298,PHIBGAS5x5,Compresa de Gasa NO TEJIDA 5 cm. x 5 cm. caja x 40 unid,si,compresa-de-gasa-no-tejida-5-cm-x-5-cm-caja-x-40-unid
299,PHIBGAS75x75,Compresa de Gasa NO TEJIDA 7.5 cm. x 7.5 cm. caja x 40 unid,si,compresa-de-gasa-no-tejida-75-cm-x-75-cm-caja-x-40-unid
300,PHIBGASQUI90CMX100YDSX__1,Gasa Quirúrgica 90cm x 100yds x 1 Unidad,si,gasa-quirrgica-90cm-x-100yds-x-1-unidad
301,PHIBGASQUI90CMX10YDSX__1,Gasa Quirúrgica 90cm x 10yds x 1 Unidad,si,gasa-quirrgica-90cm-x-10yds-x-1-unidad
302,PHIBGASQUI90CMX20YDSX__1,Gasa Quirúrgica 90cm x 20yds x 1 Unidad,si,gasa-quirrgica-90cm-x-20yds-x-1-unidad
303,PHIBGASQUI90CMX50YDSX__1,Gasa Quirúrgica 90cm x 50yds x 1 Unidad,si,gasa-quirrgica-90cm-x-50yds-x-1-unidad
304,PHIBGASTEJ10x10,Compresa de Gasa Tejida 10cm x 10cm Caja x 40 Unidades (No Esteril),si,compresa-de-gasa-tejida-10cm-x-10cm-caja-x-40-unidades-no-esteril
305,PHIBGASTEJ5x5,Compresa de Gasa Tejida 5cm x 5cm Caja x 40 Unidades (No Esteril),si,compresa-de-gasa-tejida-5cm-x-5cm-caja-x-40-unidades-no-esteril
306,PHIBGASTEJ7.5x7.5,Compresa de Gasa Tejida 7.5cm x 7.5cm Caja x 40 Unidades (No Esteril),si,compresa-de-gasa-tejida-75cm-x-75cm-caja-x-40-unidades-no-esteril
308,PHIBHOJBISSKA11X__1,Hoja de Bisturí Skalpell 11 x 1 Unidad,si,hoja-de-bistur-skalpell-11-x-1-unidad
309,PHIBHOJBISSKA15X__1,Hoja de Bisturí Skalpell 15 x 1 Unidad,si,hoja-de-bistur-skalpell-15-x-1-unidad
310,PHIBHOJBISSKA21X__1,Hoja de Bisturí Skalpell 21 x 1 Unidad,si,hoja-de-bistur-skalpell-21-x-1-unidad
311,PHIBJERDES10CC_100,Jeringa Descartable 10cc Caja x 100 Unidades,si,jeringa-descartable-10cc-caja-x-100-unidades
312,PHIBJERDES20CC_50,Jeringa Descartable 20cc Caja x 50 Unidades,si,jeringa-descartable-20cc-caja-x-50-unidades
313,PHIBJERDES3CC_100,Jeringa Descartable 3cc Caja x 100 Unidades,si,jeringa-descartable-3cc-caja-x-100-unidades
314,PHIBJERDES5CC_100,Jeringa Descartable 5cc Caja x 100 Unidades,si,jeringa-descartable-5cc-caja-x-100-unidades
315,PHIBJERDESINS1CC_100,Jeringa Descartable de Insulina 1cc Caja x 100 Unidades,si,jeringa-descartable-de-insulina-1cc-caja-x-100-unidades
316,PHIBPAROCUADU__1,Parche Ocular Estéril Adulto x 1 Unidad,si,parche-ocular-estril-adulto-x-1-unidad
317,PHIBPAROCUPED__1,Parche Ocular Estéril Pediátrico x 1 Unidad,si,parche-ocular-estril-peditrico-x-1-unidad
318,PHIBPINCORUMB__1,Pinza para Cordón Umbilical Blanco x 1 Unidad,si,pinza-para-cordn-umbilical-blanco-x-1-unidad
319,PHIBSONFOL_14,Sonda Foley 2 VIAS FR 14,si,sonda-foley-2-vias-fr-14
320,PHIBSONFOL_16,Sonda Foley 2 VIAS FR 16,si,sonda-foley-2-vias-fr-16
321,PHIBSONFOL_18,Sonda Foley 2 VIAS FR 18,si,sonda-foley-2-vias-fr-18
322,PHIBSONNAS_12,Sonda Nasogatrica FR 12,si,sonda-nasogatrica-fr-12
323,PHIBSONNAS_14,Sonda Nasogatrica FR 14,si,sonda-nasogatrica-fr-14
324,PHIBSONNAS_16,Sonda Nasogatrica FR 16,si,sonda-nasogatrica-fr-16
325,PHIBSONNAS_18,Sonda Nasogatrica FR 18,si,sonda-nasogatrica-fr-18
326,PHIBSONNAS__6,Sonda Nasogatrica FR 6,si,sonda-nasogatrica-fr-6
327,PHIBSONNAS__8,Sonda Nasogatrica FR 8,si,sonda-nasogatrica-fr-8
328,PHIBSUTCAG2-0,Sutura Cagut Crómico (2-0),si,sutura-cagut-crmico-2-0
329,PHIBSUTCAG3-0,Sutura Cagut Crómico (3-0),si,sutura-cagut-crmico-3-0
330,PHIBSUTCAG4-0,Sutura Cagut Crómico (4-0),si,sutura-cagut-crmico-4-0
331,PHIBSUTNYL2-0,Sutura Nylon (2-0),si,sutura-nylon-2-0
332,PHIBSUTNYL3-0,Sutura Nylon (3-0),si,sutura-nylon-3-0
333,PHIBSUTNYL4-0,Sutura Nylon (4-0),si,sutura-nylon-4-0
334,PHIBSUTSED2-0,Sutura Seda (2-0),si,sutura-seda-2-0
335,PHIBSUTSED3-0,Sutura Seda (3-0),si,sutura-seda-3-0
336,PHIBSUTSED4-0,Sutura Seda (4-0),si,sutura-seda-4-0
337,PHIBTACDENX20PAQ,Taco Dental x 20 paquetes (Rollo algodón dental 8mm x 38 mm),si,taco-dental-x-20-paquetes-rollo-algodn-dental-8mm-x-38-mm
338,PHIBTESEMBCAS__1,Test Embarazo Rápido HCG Cassette x 1 Unidad,si,test-embarazo-rpido-hcg-cassette-x-1-unidad
339,PHIBTESEMBLAP__1,Test Embarazo Rápido HCG Lápiz x 1 Unidad,si,test-embarazo-rpido-hcg-lpiz-x-1-unidad
345,PHIBVENCOH10x45__1AMA,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Amarillo,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-amarillo
346,PHIBVENCOH10x45__1AZU,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Azul,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-azul
347,PHIBVENCOH10x45__1BLA,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Blanco,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-blanco
348,PHIBVENCOH10x45__1CEL,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Celeste,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-celeste
349,PHIBVENCOH10x45__1LIL,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Lila,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-lila
350,PHIBVENCOH10x45__1MOR,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Morado,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-morado
351,PHIBVENCOH10x45__1NEG,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Negro,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-negro
352,PHIBVENCOH10x45__1PIE,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Piel,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-piel
353,PHIBVENCOH10x45__1ROJ,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Rojo,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-rojo
354,PHIBVENCOH10x45__1VER,Venda Cohesiva 10cm x 4.5 mts x 1 Unidad Verde,si,venda-cohesiva-10cm-x-45-mts-x-1-unidad-verde
355,PHIBVENCOH75X45__1AMA,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Amarillo,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-amarillo
356,PHIBVENCOH75X45__1AZU,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Azul,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-azul
357,PHIBVENCOH75X45__1BLA,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Blanco,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-blanco
358,PHIBVENCOH75X45__1CEL,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Celeste,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-celeste
359,PHIBVENCOH75X45__1LIL,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Lila / Fucsia,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-lila--fucsia
360,PHIBVENCOH75X45__1MOR,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Morado,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-morado
361,PHIBVENCOH75X45__1NEG,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Negro,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-negro
362,PHIBVENCOH75X45__1PIE,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Piel,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-piel
363,PHIBVENCOH75X45__1ROJ,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Rojo,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-rojo
364,PHIBVENCOH75X45__1VER,Venda Cohesiva 7.5cm x 4.5 mts x 1 Unidad Verde,si,venda-cohesiva-75cm-x-45-mts-x-1-unidad-verde
